"registertime;""departurefloor"";""destinationfloor"";""el_idatfield"";""waitingtime"";""ridingtime"";""servicetime"";""registertime_year"";""registertime_quarter"";""registertime_month"";""registertime_day"";""registertime_hour"";""registertime_dayofweek"";""iserroroccured"";""isup"";""registertime_30min"";""registertime_15min"";""registertime_5min"""
"2015-09-10 18:57:51.5;2;4;1;""00:00:03.5"";""00:00:14.3"";""00:00:17.8"";2015;3;9;10;18;4;f;t;30;45;55"
"2015-09-10 18:57:53.9;2;4;2;""00:00:03.5"";""00:00:14.3"";""00:00:46.3"";2015;3;9;10;18;4;f;t;30;45;55"
"2015-09-10 19:00:00.8;2;5;3;""00:00:03.5"";""00:00:24.8"";""00:00:48.2"";2015;3;9;10;19;4;f;t;0;0;0"
"2015-09-10 19:00:07.8;2;7;1;""00:00:03.5"";""00:01:08.3"";""00:01:11.8"";2015;3;9;10;19;4;f;t;0;0;0"
"2015-09-10 19:00:13.5;2;8;4;""00:00:07.0"";""00:01:10.4"";""00:01:13.9"";2015;3;9;10;19;4;f;t;0;0;0"
"2015-09-10 19:01:00.1;2;11;2;""00:00:09.0"";""00:01:19.3"";""00:01:22.8"";2015;3;9;10;19;4;f;t;0;0;0"
"2015-09-10 19:01:37.3;2;1;1;""00:00:15.5"";""00:00:07.5"";""00:00:54.2"";2015;3;9;10;19;4;f;f;0;0;0"
"2015-09-10 19:01:50.7;2;4;2;""00:00:07.0"";""00:00:16.6"";""00:02:30.2"";2015;3;9;10;19;4;f;t;0;0;0"
"2015-09-10 19:02:35.8;2;4;1;""00:00:03.5"";""00:00:16.6"";""00:02:13.1"";2015;3;9;10;19;4;f;t;0;0;0"
"2015-09-10 19:02:42.8;2;4;3;""00:00:07.5"";""00:00:16.6"";""00:02:09.1"";2015;3;9;10;19;4;f;t;0;0;0"
"2015-09-10 19:00:43.1;2;7;1;""00:02:03.2"";""00:00:35.1"";""00:02:38.3"";2015;3;9;10;19;4;f;t;0;0;0"
"2015-09-10 19:01:29.4;2;9;1;""00:01:16.9"";""00:00:51.7"";""00:02:08.6"";2015;3;9;10;19;4;f;t;0;0;0"
"2015-09-10 19:12:10.2;2;6;1;""00:00:03.4"";""00:00:18.2"";""00:00:21.6"";2015;3;9;10;19;4;f;t;0;0;10"
"2015-09-10 19:12:21.7;2;5;1;""00:00:30.9"";""00:00:18.5"";""00:00:49.4"";2015;3;9;10;19;4;f;t;0;0;10"
"2015-09-10 19:15:30.2;2;4;1;""00:00:03.5"";""00:00:14.2"";""00:00:17.7"";2015;3;9;10;19;4;f;t;0;15;15"
"2015-09-10 19:15:25.6;2;5;1;""00:00:03.5"";""00:00:33.6"";""00:00:37.1"";2015;3;9;10;19;4;f;t;0;15;15"
"2015-09-10 19:15:35.1;5;4;1;""00:00:27.7"";""00:00:14.7"";""00:00:42.4"";2015;3;9;10;19;4;f;f;0;15;15"
"2015-09-10 19:15:35.5;5;4;1;""00:00:27.3"";""00:00:14.7"";""00:00:42"";2015;3;9;10;19;4;f;f;0;15;15"
"2015-09-10 19:15:35.7;5;4;1;""00:00:27.1"";""00:00:14.7"";""00:00:41.8"";2015;3;9;10;19;4;f;f;0;15;15"
"2015-09-10 19:15:35.9;5;4;1;""00:00:26.9"";""00:00:14.7"";""00:00:41.6"";2015;3;9;10;19;4;f;f;0;15;15"
"2015-09-10 19:18:40.7;3;6;1;""00:00:07.2"";""00:00:18.9"";""00:00:26.1"";2015;3;9;10;19;4;f;t;0;15;15"
"2015-09-10 19:49:07.6;3;6;1;""00:00:04.1"";""00:00:22"";""00:00:26.1"";2015;3;9;10;19;4;f;t;30;45;45"
"2015-09-10 19:49:11.6;2;5;1;""00:00:42.8"";""00:00:18.6"";""00:01:01.4"";2015;3;9;10;19;4;f;t;30;45;45"
"2015-09-10 19:18:42.3;3;2;1;""00:00:09.8"";""00:00:00"";""00:00:00"";2015;3;9;10;19;4;t;f;0;15;15"
"2015-09-10 19:18:47.8;2;7;1;""00:31:06.6"";""00:00:00"";""00:00:00"";2015;3;9;10;19;4;t;t;0;15;15"
"2015-09-10 19:18:52.1;8;2;1;""00:00:31.5"";""00:00:00"";""00:00:00"";2015;3;9;10;19;4;t;f;0;15;15"
"2015-09-13 16:01:01.7;3;10;1;""00:00:03.5"";""00:00:30"";""00:00:33.5"";2015;3;9;13;16;0;f;t;0;0;0"
"2015-09-13 16:01:01.8;3;10;1;""00:00:03.4"";""00:00:30"";""00:00:33.4"";2015;3;9;13;16;0;f;t;0;0;0"
"2015-09-13 16:02:12.5;16;13;1;""00:00:08.8"";""00:00:19.7"";""00:00:28.5"";2015;3;9;13;16;0;f;f;0;0;0"
"2015-09-13 16:02:06;16;10;4;""00:00:24.8"";""00:00:25.1"";""00:00:49.9"";2015;3;9;13;16;0;f;f;0;0;0"
"2015-09-13 16:02:13;16;10;4;""00:00:17.8"";""00:00:25.1"";""00:00:42.9"";2015;3;9;13;16;0;f;f;0;0;0"
"2015-09-13 16:02:02.5;16;12;1;""00:00:18.8"";""00:00:36.2"";""00:00:55"";2015;3;9;13;16;0;f;f;0;0;0"
"2015-09-13 16:02:08.9;16;4;2;""00:00:28.8"";""00:00:33.1"";""00:01:01.9"";2015;3;9;13;16;0;f;f;0;0;0"
"2015-09-13 16:02:04.4;16;6;4;""00:00:26.4"";""00:00:49.3"";""00:01:15.7"";2015;3;9;13;16;0;f;f;0;0;0"
"2015-09-13 16:02:50.5;16;8;3;""00:00:03.5"";""00:00:37.5"";""00:00:41"";2015;3;9;13;16;0;f;f;0;0;0"
"2015-09-13 16:02:54.7;16;8;3;""00:00:10.1"";""00:00:26.7"";""00:00:36.8"";2015;3;9;13;16;0;f;f;0;0;0"
"2015-09-13 16:02:56.8;16;8;3;""00:00:08"";""00:00:26.7"";""00:00:34.7"";2015;3;9;13;16;0;f;f;0;0;0"
"2015-09-13 16:02:59.1;16;8;3;""00:00:05.7"";""00:00:26.7"";""00:00:32.4"";2015;3;9;13;16;0;f;f;0;0;0"
"2015-09-13 16:03:01.3;16;8;3;""00:00:03.5"";""00:00:26.7"";""00:00:30.2"";2015;3;9;13;16;0;f;f;0;0;0"
"2015-09-13 16:03:10.1;13;16;1;""00:00:09.2"";""00:00:21.7"";""00:00:30.9"";2015;3;9;13;16;0;f;t;0;0;0"
"2015-09-13 16:02:15.5;16;3;3;""00:00:28"";""00:01:15.7"";""00:01:43.7"";2015;3;9;13;16;0;f;f;0;0;0"
"2015-09-13 16:03:06.8;13;9;2;""00:00:37.9"";""00:00:22"";""00:00:59.9"";2015;3;9;13;16;0;f;f;0;0;0"
"2015-09-13 16:03:01.7;13;12;4;""00:00:48.9"";""00:00:17.6"";""00:01:06.5"";2015;3;9;13;16;0;f;f;0;0;0"
"2015-09-13 16:03:04.7;13;12;4;""00:00:45.9"";""00:00:17.6"";""00:01:03.5"";2015;3;9;13;16;0;f;f;0;0;0"
"2015-09-13 16:03:16.8;16;11;1;""00:00:26.3"";""00:00:39.6"";""00:01:05.9"";2015;3;9;13;16;0;f;f;0;0;0"
"2015-09-13 16:02:55.5;13;11;1;""00:01:07.9"";""00:00:19.3"";""00:01:27.2"";2015;3;9;13;16;0;f;f;0;0;0"
"2015-09-13 16:03:18.3;13;11;1;""00:00:45.1"";""00:00:19.3"";""00:01:04.4"";2015;3;9;13;16;0;f;f;0;0;0"
"2015-09-13 16:02:59.7;13;3;2;""00:00:45"";""00:00:50.6"";""00:01:35.6"";2015;3;9;13;16;0;f;f;0;0;0"
"2015-09-13 16:03:22.8;16;10;1;""00:00:20.3"";""00:00:59.2"";""00:01:19.5"";2015;3;9;13;16;0;f;f;0;0;0"
"2015-09-13 16:02:52.5;16;8;1;""00:00:50.6"";""00:01:20.8"";""00:02:11.4"";2015;3;9;13;16;0;f;f;0;0;0"
"2015-09-13 16:03:03.5;16;8;1;""00:00:39.6"";""00:01:20.8"";""00:02:00.4"";2015;3;9;13;16;0;f;f;0;0;0"
"2015-09-13 16:04:02.5;16;8;4;""00:00:35.2"";""00:00:27"";""00:01:02.2"";2015;3;9;13;16;0;f;f;0;0;0"
"2015-09-13 16:04:34.3;16;6;4;""00:00:03.4"";""00:00:48.2"";""00:00:51.6"";2015;3;9;13;16;0;f;f;0;0;0"
"2015-09-13 16:04:47.6;13;3;2;""00:00:26.7"";""00:00:27.1"";""00:00:53.8"";2015;3;9;13;16;0;f;f;0;0;0"
